Date,Equity_LSTM,Equity_Hybrid,Positions_LSTM,Positions_Hybrid
2025-05-02,1554.0314452497769,1504.2333526882408,0,0
2025-05-05,1554.0314452497769,1504.2333526882408,0,0
2025-05-05,1554.0314452497769,1504.2333526882408,0,0
2025-05-05,1554.0314452497769,1504.2333526882408,0,0
2025-05-05,1554.0314452497769,1504.2333526882408,0,0
2025-05-05,1554.0314452497769,1504.2333526882408,0,0
2025-05-06,1554.0314452497769,1504.2333526882408,0,0
2025-05-06,1554.0314452497769,1504.2333526882408,0,0
2025-05-06,1554.0314452497769,1504.2333526882408,0,0
2025-05-06,1554.0314452497769,1504.2333526882408,0,0
2025-05-06,1554.0314452497769,1504.2333526882408,0,0
2025-05-07,1551.8814452497768,1502.0833526882407,1,1
2025-05-07,1551.8814452497768,1502.0833526882407,1,1
2025-05-07,1551.8814452497768,1502.0833526882407,1,1
2025-05-07,1551.8814452497768,1502.0833526882407,1,1
2025-05-07,1551.8814452497768,1502.0833526882407,1,1
2025-05-08,1551.8814452497768,1502.0833526882407,1,1
2025-05-08,1551.8814452497768,1502.0833526882407,1,1
2025-05-08,1551.8814452497768,1502.0833526882407,1,1
2025-05-08,1549.7314452497767,1499.9333526882406,2,2
2025-05-08,1549.7314452497767,1499.9333526882406,2,2
2025-05-09,1549.7314452497767,1499.9333526882406,2,2
2025-05-09,1549.7314452497767,1499.9333526882406,2,2
2025-05-09,1549.7314452497767,1499.9333526882406,2,2
2025-05-09,1549.7314452497767,1499.9333526882406,2,2
2025-05-09,1549.7314452497767,1499.9333526882406,2,2
2025-05-12,1549.7314452497767,1499.9333526882406,2,2
2025-05-12,1549.7314452497767,1499.9333526882406,2,2
2025-05-12,1549.7314452497767,1499.9333526882406,2,2
2025-05-12,1549.7314452497767,1499.9333526882406,2,2
2025-05-12,1549.7314452497767,1499.9333526882406,2,2
2025-05-13,1549.7314452497767,1499.9333526882406,2,2
2025-05-13,1549.7314452497767,1499.9333526882406,2,2
2025-05-13,1549.7314452497767,1499.9333526882406,2,2
2025-05-13,1547.5814452497766,1497.7833526882405,3,3
2025-05-13,1545.3766507292287,1495.5785581676926,4,4
2025-05-14,1545.3766507292287,1495.5785581676926,4,4
2025-05-14,1543.1718562086808,1493.3737636471446,5,5
2025-05-14,1543.1718562086808,1493.3737636471446,5,5
2025-05-14,1543.1718562086808,1493.3737636471446,5,5
2025-05-14,1543.1718562086808,1493.3737636471446,5,5
2025-05-15,1543.1718562086808,1493.3737636471446,5,5
2025-05-15,1543.1718562086808,1493.3737636471446,5,5
2025-05-15,1543.1718562086808,1493.3737636471446,5,5
2025-05-15,1543.1718562086808,1493.3737636471446,5,5
2025-05-15,1543.1718562086808,1493.3737636471446,5,5
2025-05-16,1543.1718562086808,1493.3737636471446,5,5
2025-05-16,1543.1718562086808,1493.3737636471446,5,5
2025-05-16,1543.1718562086808,1493.3737636471446,5,5
2025-05-16,1543.1718562086808,1493.3737636471446,5,5
2025-05-16,1543.1718562086808,1493.3737636471446,5,5
2025-05-19,1543.1718562086808,1493.3737636471446,5,5
2025-05-19,1543.1718562086808,1493.3737636471446,5,5
2025-05-19,1543.1718562086808,1493.3737636471446,5,5
2025-05-19,1543.1718562086808,1493.3737636471446,5,5
2025-05-19,1543.1718562086808,1493.3737636471446,5,5
2025-05-20,1543.1718562086808,1493.3737636471446,5,5
2025-05-20,1543.1718562086808,1493.3737636471446,5,5
2025-05-20,1543.1718562086808,1493.3737636471446,5,5
2025-05-20,1543.1718562086808,1493.3737636471446,5,5
2025-05-20,1543.1718562086808,1493.3737636471446,5,5
2025-05-21,1573.1718562086808,1523.3737636471446,4,4
2025-05-21,1573.1718562086808,1523.3737636471446,4,4
2025-05-21,1573.1718562086808,1523.3737636471446,4,4
2025-05-21,1573.1718562086808,1523.3737636471446,4,4
2025-05-21,1571.0218562086807,1521.2237636471446,5,5
2025-05-22,1574.3273589675553,1524.5292664060191,4,4
2025-05-22,1572.1773589675552,1522.379266406019,5,5
2025-05-22,1572.1773589675552,1522.379266406019,5,5
2025-05-22,1572.1773589675552,1522.379266406019,5,5
2025-05-22,1572.1773589675552,1522.379266406019,5,5
2025-05-23,1572.1773589675552,1522.379266406019,5,5
2025-05-23,1572.1773589675552,1522.379266406019,5,5
2025-05-23,1572.1773589675552,1522.379266406019,5,5
2025-05-23,1572.1773589675552,1522.379266406019,5,5
2025-05-23,1572.1773589675552,1522.379266406019,5,5
2025-05-27,1535.7365697223443,1485.9384771608081,4,4
2025-05-27,1535.7365697223443,1485.9384771608081,4,4
2025-05-27,1533.5865697223442,1483.788477160808,5,5
2025-05-27,1533.5865697223442,1483.788477160808,5,5
2025-05-27,1533.5865697223442,1483.788477160808,5,5
2025-05-28,1533.2730517046425,1483.4749591431064,4,4
2025-05-28,1531.0682571840946,1481.2701646225585,5,5
2025-05-28,1531.0682571840946,1481.2701646225585,5,5
2025-05-28,1531.0682571840946,1481.2701646225585,5,5
2025-05-28,1531.0682571840946,1481.2701646225585,5,5
2025-05-29,1531.0682571840946,1481.2701646225585,5,5
2025-05-29,1531.0682571840946,1481.2701646225585,5,5
2025-05-29,1531.0682571840946,1481.2701646225585,5,5
2025-05-29,1531.0682571840946,1481.2701646225585,5,5
2025-05-29,1531.0682571840946,1481.2701646225585,5,5
2025-05-30,1531.0682571840946,1481.2701646225585,5,5
